Case_id,Year_id,State_id,County_id,Hospital_id,Disease_id,Num_of_cases,Num_of_Deaths
1,6,50,1,101,132,1,0
2,6,50,1,101,187,3,0
3,6,50,1,101,121,43,9
4,6,50,1,101,77,181,14
5,6,50,1,101,143,110,3
6,6,50,1,101,165,19,16
7,6,50,1,101,99,3,0
8,6,50,1,101,220,134,6
9,6,50,1,102,121,1,0
10,6,50,1,102,77,81,11
11,6,50,1,102,143,80,2
12,6,50,1,102,165,46,5
13,6,50,1,102,99,6,6
14,6,50,1,102,132,134,6
15,6,50,1,102,187,134,6
16,6,50,1,102,220,134,6
17,6,50,1,103,187,3,0
18,6,50,1,103,121,56,8
19,6,50,1,103,77,294,12
20,6,50,1,103,143,214,2
21,6,50,1,103,165,87,2
22,6,50,1,103,220,55,2
23,6,50,1,103,99,21,6
24,6,50,1,103,121,134,6
25,6,50,1,104,132,1,0
26,6,50,1,104,187,3,0
27,6,50,1,104,44,247,9
28,6,50,1,104,143,306,2
29,6,50,1,104,165,103,2
30,6,50,1,104,220,1262,1
31,6,50,1,104,99,30,6
32,6,50,1,105,132,134,6
33,6,50,1,105,187,134,6
34,6,50,1,105,121,91,6
35,6,50,1,105,44,267,12
36,6,50,1,105,143,144,6
37,6,50,1,105,165,86,3
38,6,50,1,105,220,134,6
39,6,50,1,105,99,15,6
40,6,50,1,106,132,134,6
41,6,50,1,106,187,134,6
42,6,50,1,106,121,6,6
43,6,50,1,106,44,141,13
44,6,50,1,106,143,170,2
45,6,50,1,106,165,64,2
46,6,50,1,106,220,134,6
47,6,50,1,106,99,1,0
48,6,50,1,107,132,2,0
49,6,50,1,107,187,6,0
50,6,50,1,107,121,134,6
51,6,50,1,107,44,151,12
52,6,50,1,107,143,239,4
53,6,50,1,107,165,113,2
54,6,50,1,107,220,134,6
55,6,50,1,107,99,70,6
56,6,50,1,108,132,1,0
57,6,50,1,108,187,4,0
58,6,50,1,108,121,1,0
59,6,50,1,108,44,253,12
60,6,50,1,108,143,274,4
61,6,50,1,108,165,146,4
62,6,50,1,108,220,134,6
63,6,50,1,108,99,17,6
64,6,50,1,109,132,134,6
65,6,50,1,109,187,2,0
66,6,50,1,109,121,1,0
67,6,50,1,109,44,63,14
68,6,50,1,109,143,157,3
69,6,50,1,109,165,29,7
70,6,50,1,109,220,70,5
71,6,50,1,109,99,5,0
72,6,50,1,110,132,134,6
73,6,50,1,110,187,134,6
74,6,50,1,110,121,134,6
75,6,50,1,110,44,109,14
76,6,50,1,110,143,157,4
77,6,50,1,110,165,41,5
78,6,50,1,110,220,134,6
79,6,50,1,110,99,25,6
80,6,50,1,111,132,134,6
81,6,50,1,111,187,1,0
82,6,50,1,111,121,134,6
83,6,50,1,111,44,88,14
84,6,50,1,111,143,136,4
85,6,50,1,111,165,69,4
86,6,50,1,111,220,106,3
87,6,50,1,111,99,21,6
88,6,50,1,112,132,134,6
89,6,50,1,112,187,134,6
90,6,50,1,112,121,41,17
91,6,50,1,112,44,245,15
92,6,50,1,112,143,275,5
93,6,50,1,112,165,81,4
94,6,50,1,112,220,737,2
95,6,50,1,112,99,24,5
96,6,50,3,113,132,134,6
97,6,50,3,113,187,134,6
98,6,50,3,113,121,134,6
99,6,50,3,113,44,45,33
100,6,50,3,113,143,69,4
101,6,50,3,113,165,54,6
102,6,50,3,113,220,134,6
103,6,50,3,113,99,134,6
104,6,50,4,114,132,134,6
105,6,50,4,114,187,134,6
106,6,50,4,114,121,134,6
107,6,50,4,114,44,27,24
108,6,50,4,114,143,12,6
109,6,50,4,114,165,18,7
110,6,50,4,114,220,134,6
111,6,50,4,114,99,134,6
112,6,50,4,115,132,134,6
113,6,50,4,115,187,1,0
114,6,50,4,115,121,45,7
115,6,50,4,115,44,255,13
116,6,50,4,115,143,260,1
117,6,50,4,115,165,153,4
118,6,50,4,115,220,411,2
119,6,50,4,115,99,132,2
120,6,50,4,116,132,134,6
121,6,50,4,116,187,134,6
122,6,50,4,116,121,134,6
123,6,50,4,116,44,80,6
124,6,50,4,116,143,112,2
125,6,50,4,116,165,82,4
126,6,50,4,116,220,134,6
127,6,50,4,116,99,17,6
128,6,50,4,117,132,134,6
129,6,50,4,117,187,134,6
130,6,50,4,117,121,12,6
131,6,50,4,117,44,93,12
132,6,50,4,117,143,141,5
133,6,50,4,117,165,84,3
134,6,50,4,117,220,134,6
135,6,50,4,117,99,26,6
136,6,50,5,118,132,134,6
137,6,50,5,118,187,134,6
138,6,50,5,118,121,134,6
139,6,50,5,118,44,33,17
140,6,50,5,118,143,46,9
141,6,50,5,118,165,29,12
142,6,50,5,118,220,134,6
143,6,50,5,118,99,134,6
144,6,50,6,119,132,134,6
145,6,50,6,119,187,134,6
146,6,50,6,119,121,134,6
147,6,50,6,119,44,5,0
148,6,50,6,119,143,22,6
149,6,50,6,119,165,134,6
150,6,50,6,119,220,134,6
151,6,50,6,119,99,134,6
152,6,50,7,120,132,134,6
153,6,50,7,120,187,134,6
154,6,50,7,120,121,11,6
155,6,50,7,120,44,55,8
156,6,50,7,120,143,75,6
157,6,50,7,120,165,19,6
158,6,50,7,120,220,134,6
159,6,50,7,120,99,134,6
160,6,50,7,121,132,2,0
161,6,50,7,121,187,2,0
162,6,50,7,121,121,2,0
163,6,50,7,121,44,153,9
164,6,50,7,121,143,160,2
165,6,50,7,121,165,68,2
166,6,50,7,121,220,241,3
167,6,50,7,121,99,11,6
168,6,50,7,122,132,134,6
169,6,50,7,122,187,4,0
170,6,50,7,122,121,1,0
171,6,50,7,122,44,222,12
172,6,50,7,122,143,265,3
173,6,50,7,122,165,109,2
174,6,50,7,122,220,637,2
175,6,50,7,122,99,41,2
176,6,50,7,123,132,134,6
177,6,50,7,123,187,2,0
178,6,50,7,123,121,94,3
179,6,50,7,123,44,368,11
180,6,50,7,123,143,281,2
181,6,50,7,123,165,188,5
182,6,50,7,123,220,197,1
183,6,50,7,123,99,83,6
184,6,50,7,124,132,134,6
185,6,50,7,124,187,134,6
186,6,50,7,124,121,134,6
187,6,50,7,124,44,134,6
188,6,50,7,124,143,134,6
189,6,50,7,124,165,134,6
190,6,50,7,124,220,134,6
191,6,50,7,124,99,134,6
192,6,50,7,125,132,134,6
193,6,50,7,125,187,134,6
194,6,50,7,125,121,134,6
195,6,50,7,125,44,103,12
196,6,50,7,125,143,57,6
197,6,50,7,125,165,1,0
198,6,50,7,125,220,134,6
199,6,50,7,125,99,134,6
200,6,50,7,126,132,3,0
201,6,50,7,126,187,20,6
202,6,50,7,126,121,134,6
203,6,50,7,126,44,232,10
204,6,50,7,126,143,334,3
205,6,50,7,126,165,198,4
206,6,50,7,126,220,2,0
207,6,50,7,126,99,75,6
208,6,50,7,127,132,134,6
209,6,50,7,127,187,2,0
210,6,50,7,127,121,2,0
